yblink,ybname
http://www.youtube.com/watch?v=IbLztz7Kfa0&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=36,"
      Learn Korean Ep. 36: ""I'll do it for you""
    "
http://www.youtube.com/watch?v=eQKIiWyjeEU&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=37,"
      Learn Korean Ep. 37: ""F.Y.I.""
    "
http://www.youtube.com/watch?v=0slOliV_9zc&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=38,"
      Learn Korean Ep. 38: ""What""
    "
http://www.youtube.com/watch?v=4H046jhzCbY&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=39,"
      Learn Korean Ep. 39: ""Don't""
    "
http://www.youtube.com/watch?v=VzYq-zDfK1g&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=40,"
      Learn Korean Ep. 40: ""Why"" and ""How""
    "
http://www.youtube.com/watch?v=tfdzfyk6D28&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=41,"
      Learn Korean Ep. 41: ""Almost""
    "
http://www.youtube.com/watch?v=v8tbX-QZQIA&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=42,"
      Learn Korean Ep. 42: ""테니까"" & ""텐데""
    "
http://www.youtube.com/watch?v=uusUml1IADM&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=43,"
      Learn Korean Ep. 43: Possessive Marker
    "
http://www.youtube.com/watch?v=WY025MCtZVk&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=44,"
      Learn Korean Ep. 44: ""How to""
    "
http://www.youtube.com/watch?v=Awmd6t8_ppg&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=45,"
      Learn Korean Ep. 45: Make & Let
    "
http://www.youtube.com/watch?v=xNfU78NMKzU&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=46,"
      Learn Korean Ep. 46: ""In order to""
    "
http://www.youtube.com/watch?v=TDlU8wLE_-4&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=47,"
      Learn Korean Ep. 47: ""I think""
    "
http://www.youtube.com/watch?v=vMNeKRvrpIM&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=48,"
      Learn Korean Ep. 48: Something, Somewhere, and Someone
    "
http://www.youtube.com/watch?v=YtWcZbrqgjc&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=49,"
      Learn Korean Ep. 49: Intention Words
    "
http://www.youtube.com/watch?v=Pi-Nd4mBZTI&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=50,"
      Learn Korean Ep. 50: Or
    "
http://www.youtube.com/watch?v=_E5AeC4U-gA&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=51,"
      Learn Korean Ep. 51: Like
    "
http://www.youtube.com/watch?v=gJlK55psX7E&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=52,"
      Learn Korean Ep. 52: ""Have you ever?""
    "
http://www.youtube.com/watch?v=otRyXOVUuqs&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=53,"
      Learn Korean Ep. 53: Even
    "
http://www.youtube.com/watch?v=mfNFqkLJ-v0&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=54,"
      Learn Korean Ep. 54: ""As soon as""
    "
http://www.youtube.com/watch?v=Zoec8u-PEJc&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=55,"
      Learn Korean Ep. 55: ""Though""
    "
http://www.youtube.com/watch?v=70CIqYW6Fpc&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=56,"
      Learn Korean Ep. 56: Object Marker
    "
http://www.youtube.com/watch?v=ekfDKLu-Ndw&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=57,"
      Learn Korean Ep. 57: Sentence Structure
    "
http://www.youtube.com/watch?v=PPg8-tkwkd0&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=58,"
      Learn Korean Ep. 58: Should and Should Not
    "
http://www.youtube.com/watch?v=UGYDbtpD9_Y&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=59,"
      Learn Korean Ep. 59: ""Used to""
    "
http://www.youtube.com/watch?v=7A9nhsSFsp4&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=60,"
      Learn Korean Ep. 60: Korean Pronunciation
    "
http://www.youtube.com/watch?v=6eUonS7knec&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=61,"
      Learn Korean Ep. 61: How to say “you” in Korean
    "
http://www.youtube.com/watch?v=9Tc34mQgzYw&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=62,"
      Learn Korean Ep. 62: Prepositions
    "
http://www.youtube.com/watch?v=yMoZ81bdP6E&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=63,"
      Learn Korean Ep. 63: About
    "
http://www.youtube.com/watch?v=BP4_nj9B628&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=64,"
      Learn Korean Ep. 64: Easy to, Hard to
    "
http://www.youtube.com/watch?v=JEbSLhul9Ag&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=65,"
      Learn Korean Ep. 65: “But”
    "
http://www.youtube.com/watch?v=GTY-2n9VN4I&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=66,"
      Learn Korean Ep. 66: 버리다
    "
http://www.youtube.com/watch?v=wc7t2UwsHHM&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=67,"
      Learn Korean Ep. 67: 수록
    "
http://www.youtube.com/watch?v=TsQs1CVym2E&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=68,"
      Learn Korean Ep. 68: “Toward”
    "
http://www.youtube.com/watch?v=yOBl7OJafLY&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=69,"
      Learn Korean Ep. 69: “Do it for later”
    "
http://www.youtube.com/watch?v=suipPZlHrVo&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=70,"
      Learn Korean Ep. 70: Adjectives
    "
http://www.youtube.com/watch?v=yn9W1TIxOQo&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=71,"
      Learn Korean Ep. 71: “Pretend to Do”
    "
http://www.youtube.com/watch?v=T68WpJPbO6c&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=72,"
      Learn Korean Ep. 72: 더니
    "
http://www.youtube.com/watch?v=S47qIlo_yzM&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=73,"
      Learn Korean Ep. 73: Whatever, Wherever, Whoever, Whenever
    "
http://www.youtube.com/watch?v=iyLcKqXgC5A&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=74,"
      Learn Korean Ep. 74: “Do it”
    "
http://www.youtube.com/watch?v=s71JsPDElRs&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=75,"
      Learn Korean Ep. 75: “To End up Doing”
    "
http://www.youtube.com/watch?v=oDfhFOqVXpM&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=76,"
      Learn Korean Ep. 76: “Contrary to what you might think…”
    "
http://www.youtube.com/watch?v=jeOJ-0-b80U&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=77,"
      Learn Korean Ep. 77: “To Become”
    "
http://www.youtube.com/watch?v=JYcXa6oW3_g&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=78,"
      Learn Korean Ep. 78: “Worth Doing”
    "
http://www.youtube.com/watch?v=OBahmwm4JG0&list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE&index=79,"
      Learn Korean Ep. 79: “Should Have”
    "
